TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910161901
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,66,2024/2/14 8:46:47,43.9230,98.8990,106.0638,169.2461,175.9018,131.0925,81.1713,70.3039,103.6669,127.9458,106.8876,58.7319,25.9220,1299.7557,48.6606,86.3103,56.4234,36.5174,2.5325,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,67,2024/2/14 8:47:47,38.9832,94.3761,112.8037,153.2157,167.5818,145.3049,109.4880,87.5422,101.4521,119.8421,106.8549,69.0847,33.8412,1340.3704,52.7022,89.2973,58.6884,36.5174,2.5202,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,68,2024/2/14 8:48:47,29.3329,95.2663,114.9474,160.2861,154.1176,123.9795,106.3361,119.4930,136.7157,129.1365,92.0014,46.9943,22.8006,1331.4073,55.4161,85.0495,58.2211,27.3842,2.4210,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,69,2024/2/14 8:49:47,34.6335,78.5175,103.1718,159.1620,165.5821,131.4645,95.2735,88.2314,109.7340,122.9655,104.1147,65.6707,36.1351,1294.6566,54.0932,91.5525,60.5465,36.5174,2.5115,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,70,2024/2/14 8:50:47,34.4281,96.3746,118.0982,157.2268,152.4605,123.4013,103.5251,110.9842,131.3716,132.5150,101.9914,57.5183,27.3274,1347.2224,55.8527,88.1621,59.2378,27.3842,2.4814,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,71,2024/2/14 8:51:47,41.1863,88.4611,95.0023,167.6320,184.3061,143.1436,89.5561,73.3898,104.3668,134.4500,124.0543,81.5904,41.6715,1368.8103,53.3105,95.0041,61.6851,36.5174,2.5753,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,72,2024/2/14 8:52:47,42.7924,91.8874,91.0164,148.2570,160.1900,129.9131,94.2700,88.7940,113.0316,125.9020,102.4220,58.3648,27.6635,1274.5042,53.8855,88.9625,59.1251,36.5174,2.5102,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,73,2024/2/14 8:53:47,36.3753,82.9715,99.9873,141.2286,157.0331,134.7613,96.2574,70.6705,80.0829,100.7025,100.5976,76.1115,42.1284,1218.9077,52.2934,93.4655,59.9721,36.5174,2.5831,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,74,2024/2/14 8:54:47,44.2029,86.8907,96.3280,143.0023,137.8707,107.0990,89.3515,102.5785,116.4460,106.2538,73.5844,38.7738,25.0987,1167.4804,52.6175,83.4115,55.9567,27.3842,2.4691,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,75,2024/2/14 8:55:47,22.6597,80.4131,107.0751,135.3574,142.2979,126.3627,103.6478,89.5388,96.7703,102.6634,85.4469,55.0136,33.4689,1180.7154,54.1401,88.9780,59.2707,36.5174,2.4728,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,76,2024/2/14 8:56:47,32.2169,87.9214,93.5118,131.5089,140.9754,121.4312,94.1657,82.3892,87.0309,93.5975,85.3014,62.3875,36.3852,1148.8228,52.9376,90.4491,58.8023,36.5174,2.5443,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,77,2024/2/14 8:57:47,43.3395,77.4134,85.7171,133.9377,145.0887,119.8776,88.3409,77.1448,88.3622,94.0809,76.1741,45.9365,26.7130,1102.1263,50.3794,84.6927,55.9411,36.5174,2.4911,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,78,2024/2/14 8:58:47,26.3974,76.5362,99.6962,145.9928,153.4093,124.1873,88.7278,75.7341,95.9228,109.4952,88.5643,49.2600,25.1801,1159.1032,51.4774,86.5396,57.9123,36.5174,2.4590,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,79,2024/2/14 8:59:47,27.1606,73.7155,94.7522,123.6846,131.1139,120.7309,106.4817,97.8640,91.5695,84.0578,71.9931,56.5093,41.1013,1120.7342,55.5474,90.6766,59.9031,36.5174,2.4913,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,80,2024/2/14 9:00:47,43.9039,94.4961,77.3599,126.8176,137.1421,109.0817,74.8262,67.9366,88.0436,95.5648,69.9498,33.1241,21.2775,1039.5239,47.8235,80.9738,53.4174,36.5174,2.4956,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,81,2024/2/14 9:01:47,38.4442,78.2019,83.8621,123.8721,121.0690,94.4526,77.1249,86.9565,103.4469,99.8898,71.5265,37.6581,23.2320,1039.7366,53.8034,85.7275,57.2052,27.3842,2.4953,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,82,2024/2/14 9:02:47,33.9690,73.1310,73.7241,111.5725,126.5984,114.6838,93.5791,83.6772,86.7577,88.7883,77.5535,54.8074,31.1973,1050.0396,55.7445,91.0791,60.2731,36.5174,2.5116,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,83,2024/2/14 9:03:47,47.3074,82.8178,68.5116,101.1995,125.0344,135.8342,137.2865,131.3912,104.9535,62.3775,22.0547,0.0000,0.5103,1019.2785,51.4752,62.7055,48.3884,64.9382,2.1072,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,84,2024/2/14 9:04:47,33.1455,87.1522,82.2974,118.6284,120.0170,106.3793,102.2636,116.8677,126.1867,94.6017,28.9724,0.0000,0.0000,1016.5119,51.5591,66.9711,50.3702,115.4782,2.1840,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,85,2024/2/14 9:05:47,39.0531,73.6101,76.9894,125.4065,116.0012,92.9090,96.7601,133.8735,148.3501,107.1556,33.6787,0.0000,0.0000,1043.7873,56.5000,70.6896,53.1756,115.4782,2.2064,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,86,2024/2/14 9:06:47,28.5465,64.2280,82.7252,126.9905,112.6241,83.3863,79.9753,109.6719,125.5918,92.2916,26.7915,0.0000,0.0000,932.8227,51.3489,68.1545,51.2369,27.3842,2.1842,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,87,2024/2/14 9:07:47,27.3422,76.9531,83.7832,106.2604,106.8383,104.4668,112.3349,127.0479,122.9571,85.9046,31.1863,0.0000,0.0000,985.0749,55.0346,68.2671,51.9240,86.5964,2.1577,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,88,2024/2/14 9:08:47,54.8151,93.6930,80.5238,131.9397,141.2447,123.5895,108.4197,112.1062,105.0356,69.4411,20.7796,0.0000,0.0000,1041.5878,44.7431,59.8674,45.2440,36.5174,2.1456,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,89,2024/2/14 9:09:47,34.6076,74.0407,69.8483,110.5474,114.7902,101.7186,95.9135,107.8871,107.8509,77.9769,30.8072,0.0000,0.0000,925.9884,50.8719,66.4224,50.0246,36.5174,2.1743,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,90,2024/2/14 9:10:47,41.5163,73.4314,76.8295,121.5923,123.7378,111.6721,113.7721,133.4042,130.0416,82.3691,13.5996,0.0000,0.0000,1021.9661,52.0078,64.4921,49.6588,86.5964,2.1223,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,91,2024/2/14 9:11:47,226.3291,180.4364,55.7677,106.1827,122.6347,102.4209,95.0435,115.1896,109.5424,62.8508,5.7338,0.0000,0.0000,1182.1316,33.8929,49.5408,34.4494,11.5478,2.3653,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
